,CPI U: All Commodities
Region,United States
Frequency,Monthly
Unit,1982-1984=100
Source,Bureau of Labor Statistics
Status,Active
Series ID,41087801 (UIAJA)
SR Code,SR792318
Function Information,
First Obs. Date,Mar-35
Last Obs. Date,Aug-18
Last Update Time,13/09/2018
Remarks,
Suggestions,
Mean,97.02567943
Variance,3316.870697
Standard Deviation,57.59227984
Skewness,0.120943198
Kurtosis,-1.494960405
Coefficient Variation,0.593577702
Min,14.6
Max,190.518
Median,101.15
No. of Obs,836
Mar-35,14.9
Jul-35,14.8
Oct-35,14.9
Jan-36,15
Apr-36,14.8
Jul-36,15.1
Sep-36,15.3
Dec-36,15.1
Mar-37,15.6
Jun-37,15.7
Sep-37,16
Dec-37,15.6
Mar-38,15.1
Jun-38,15.1
Sep-38,15
Dec-38,14.9
Mar-39,14.7
Jun-39,14.6
Sep-39,15
Dec-39,14.8
Mar-40,14.8
Jun-40,15
Sep-40,14.9
Dec-40,15
Mar-41,15.1
Jun-41,15.8
Sep-41,16.6
Dec-41,17
Mar-42,17.8
Jun-42,18.2
Sep-42,18.6
Dec-42,19.2
Mar-43,19.7
Jun-43,20.2
Sep-43,19.9
Dec-43,20
Mar-44,19.8
Jun-44,20
Sep-44,20.3
Dec-44,20.4
Mar-45,20.3
Jun-45,20.8
Sep-45,20.8
Dec-45,21
Mar-46,21
Jun-46,21.7
Sep-46,24.6
Dec-46,26.2
Mar-47,26.8
Jun-47,27
Sep-47,28.3
Dec-47,28.9
Mar-48,28.8
Jun-48,29.8
Sep-48,30.3
Dec-48,29.4
Mar-49,28.9
Jun-49,28.9
Sep-49,28.8
Dec-49,28.2
Mar-50,28.1
Jun-50,28.7
Sep-50,29.4
Dec-50,30.4
Mar-51,31.5
Jun-51,31.6
Sep-51,31.7
Dec-51,32.2
Mar-52,31.8
Jun-52,32
Sep-52,32.1
Dec-52,31.9
Mar-53,31.7
Jun-53,31.9
Sep-53,32
Dec-53,31.8
Mar-54,31.7
Jun-54,31.7
Sep-54,31.5
Dec-54,31.3
Mar-55,31.3
Jun-55,31.3
Sep-55,31.4
Dec-55,31.2
Jan-56,31.1
Feb-56,31.1
Mar-56,31.1
Apr-56,31.2
May-56,31.4
Jun-56,31.6
Jul-56,31.9
Aug-56,31.7
Sep-56,31.8
Oct-56,32
Nov-56,32
Dec-56,32
Jan-57,32.1
Feb-57,32.2
Mar-57,32.2
Apr-57,32.4
May-57,32.4
Jun-57,32.6
Jul-57,32.8
Aug-57,32.8
Sep-57,32.8
Oct-57,32.8
Nov-57,32.9
Dec-57,32.9
Jan-58,33.1
Feb-58,33.1
Mar-58,33.3
Apr-58,33.4
May-58,33.4
Jun-58,33.4
Jul-58,33.5
Aug-58,33.3
Sep-58,33.3
Oct-58,33.3
Nov-58,33.4
Dec-58,33.3
Jan-59,33.3
Feb-59,33.2
Mar-59,33.2
Apr-59,33.2
May-59,33.2
Jun-59,33.3
Jul-59,33.5
Aug-59,33.3
Sep-59,33.5
Oct-59,33.6
Nov-59,33.5
Dec-59,33.5
Jan-60,33.4
Feb-60,33.4
Mar-60,33.4
Apr-60,33.6
May-60,33.6
Jun-60,33.6
Jul-60,33.6
Aug-60,33.6
Sep-60,33.6
Oct-60,33.8
Nov-60,33.8
Dec-60,33.9
Jan-61,33.8
Feb-61,33.8
Mar-61,33.8
Apr-61,33.7
May-61,33.7
Jun-61,33.8
Jul-61,33.9
Aug-61,33.9
Sep-61,33.9
Oct-61,34
Nov-61,33.9
Dec-61,33.9
Jan-62,33.8
Feb-62,34
Mar-62,34
Apr-62,34
May-62,34
Jun-62,34.1
Jul-62,34.1
Aug-62,34.1
Sep-62,34.3
Oct-62,34.3
Nov-62,34.3
Dec-62,34.2
Jan-63,34.2
Feb-63,34.3
Mar-63,34.3
Apr-63,34.3
May-63,34.2
Jun-63,34.4
Jul-63,34.6
Aug-63,34.6
Sep-63,34.5
Oct-63,34.6
Nov-63,34.6
Dec-63,34.7
Jan-64,34.7
