,Unemployment Insurance: Jobless Claims: Initial
Region,United States
Frequency,Weekly beginning at Saturday
Unit,Person th
Source,US Department of Labor
Status,Active
Series ID,298084001 (UGFEAA)
SR Code,SR4526209
Function Information,
First Obs. Date,7/1/1967
Last Obs. Date,29/09/2018
Last Update Time,4/10/2018
Remarks,
Suggestions,
Mean,353.309037
Variance,13516.98812
Standard Deviation,116.2625826
Skewness,1.235564255
Kurtosis,2.624930684
Coefficient Variation,0.329067673
Min,133
Max,1073.5
Median,332.2305
No. of Obs,2700
7/1/1967,346
14/01/1967,334
21/01/1967,277
28/01/1967,252
4/2/1967,274
11/2/1967,276
18/02/1967,247
25/02/1967,248
4/3/1967,326
11/3/1967,240
18/03/1967,225
25/03/1967,215
1/4/1967,223
8/4/1967,251
15/04/1967,289
22/04/1967,218
29/04/1967,216
6/5/1967,221
13/05/1967,188
20/05/1967,177
27/05/1967,170
3/6/1967,175
10/6/1967,188
17/06/1967,176
24/06/1967,178
1/7/1967,206
8/7/1967,322
15/07/1967,309
22/07/1967,282
29/07/1967,243
5/8/1967,250
12/8/1967,193
19/08/1967,174
26/08/1967,160
2/9/1967,163
9/9/1967,156
16/09/1967,165
23/09/1967,155
30/09/1967,154
7/10/1967,195
14/10/1967,159
21/10/1967,181
28/10/1967,174
4/11/1967,204
11/11/1967,201
18/11/1967,209
25/11/1967,200
2/12/1967,228
9/12/1967,258
16/12/1967,241
23/12/1967,289
30/12/1967,332
6/1/1968,357
13/01/1968,373
20/01/1968,293
27/01/1968,242
3/2/1968,308
10/2/1968,257
17/02/1968,214
24/02/1968,199
2/3/1968,198
9/3/1968,208
16/03/1968,179
23/03/1968,175
30/03/1968,165
6/4/1968,184
13/04/1968,167
20/04/1968,165
27/04/1968,216
4/5/1968,180
11/5/1968,164
18/05/1968,156
25/05/1968,148
1/6/1968,139
8/6/1968,149
15/06/1968,154
22/06/1968,152
29/06/1968,173
6/7/1968,266
13/07/1968,242
20/07/1968,216
27/07/1968,238
3/8/1968,235
10/8/1968,222
17/08/1968,160
24/08/1968,148
31/08/1968,139
7/9/1968,135
14/09/1968,141
21/09/1968,142
28/09/1968,143
5/10/1968,153
12/10/1968,151
19/10/1968,151
26/10/1968,152
2/11/1968,161
9/11/1968,174
16/11/1968,196
23/11/1968,211
30/11/1968,180
7/12/1968,223
14/12/1968,233
21/12/1968,243
28/12/1968,333
4/1/1969,290
11/1/1969,337
18/01/1969,265
25/01/1969,236
1/2/1969,250
8/2/1969,248
15/02/1969,219
22/02/1969,199
1/3/1969,206
8/3/1969,195
15/03/1969,179
22/03/1969,158
29/03/1969,157
5/4/1969,170
12/4/1969,187
19/04/1969,168
26/04/1969,151
3/5/1969,150
10/5/1969,157
17/05/1969,141
24/05/1969,138
31/05/1969,135
7/6/1969,148
14/06/1969,145
21/06/1969,155
28/06/1969,177
5/7/1969,267
12/7/1969,271
19/07/1969,246
26/07/1969,221
2/8/1969,223
9/8/1969,210
16/08/1969,168
23/08/1969,154
30/08/1969,144
6/9/1969,133
13/09/1969,149
20/09/1969,147
27/09/1969,147
4/10/1969,159
11/10/1969,168
18/10/1969,155
25/10/1969,171
1/11/1969,174
8/11/1969,206
15/11/1969,196
22/11/1969,230
29/11/1969,219
6/12/1969,247
13/12/1969,264
20/12/1969,289
27/12/1969,320
3/1/1970,344
10/1/1970,429
17/01/1970,386
24/01/1970,316
31/01/1970,293
7/2/1970,324
14/02/1970,308
21/02/1970,285
28/02/1970,241
7/3/1970,270
14/03/1970,258
21/03/1970,233
28/03/1970,236
4/4/1970,250
11/4/1970,300
18/04/1970,339
25/04/1970,299
2/5/1970,278
9/5/1970,279
16/05/1970,242
23/05/1970,231
30/05/1970,224
6/6/1970,234
13/06/1970,242
20/06/1970,245
27/06/1970,247
4/7/1970,309
11/7/1970,369
18/07/1970,353
25/07/1970,329
1/8/1970,293
8/8/1970,278
15/08/1970,257
22/08/1970,238
29/08/1970,220
5/9/1970,240
12/9/1970,207
19/09/1970,247
26/09/1970,256
3/10/1970,284
10/10/1970,287
17/10/1970,259
24/10/1970,280
31/10/1970,283
7/11/1970,333
14/11/1970,307
21/11/1970,333
28/11/1970,354
5/12/1970,378
12/12/1970,370
19/12/1970,354
26/12/1970,451
2/1/1971,443
9/1/1971,500
16/01/1971,452
23/01/1971,399
30/01/1971,353
6/2/1971,375
13/02/1971,333
20/02/1971,286
27/02/1971,289
6/3/1971,306
13/03/1971,275
20/03/1971,260
27/03/1971,261
3/4/1971,267
10/4/1971,278
17/04/1971,257
24/04/1971,248
1/5/1971,237
8/5/1971,260
15/05/1971,230
22/05/1971,231
29/05/1971,231
5/6/1971,232
12/6/1971,244
19/06/1971,249
26/06/1971,247
3/7/1971,288
10/7/1971,335
17/07/1971,367
24/07/1971,342
31/07/1971,340
7/8/1971,362
14/08/1971,282
21/08/1971,252
28/08/1971,228
4/9/1971,268
11/9/1971,219
18/09/1971,230
25/09/1971,236
2/10/1971,238
9/10/1971,280
16/10/1971,233
23/10/1971,251
30/10/1971,241
6/11/1971,297
13/11/1971,289
20/11/1971,291
27/11/1971,284
4/12/1971,372
11/12/1971,348
18/12/1971,329
25/12/1971,340
1/1/1972,405
8/1/1972,479
15/01/1972,395
22/01/1972,347
29/01/1972,326
5/2/1972,342
12/2/1972,318
19/02/1972,279
26/02/1972,252
4/3/1972,263
11/3/1972,257
18/03/1972,241
25/03/1972,231
1/4/1972,224
8/4/1972,271
15/04/1972,237
22/04/1972,223
29/04/1972,214
6/5/1972,234
13/05/1972,218
20/05/1972,210
27/05/1972,209
3/6/1972,198
10/6/1972,224
17/06/1972,227
24/06/1972,240
1/7/1972,327
8/7/1972,364
15/07/1972,367
22/07/1972,299
29/07/1972,266
5/8/1972,256
12/8/1972,220
19/08/1972,203
26/08/1972,195
2/9/1972,192
9/9/1972,178
16/09/1972,196
23/09/1972,193
30/09/1972,192
7/10/1972,233
14/10/1972,202
21/10/1972,214
28/10/1972,196
4/11/1972,242
11/11/1972,236
18/11/1972,280
25/11/1972,238
2/12/1972,268
9/12/1972,317
16/12/1972,323
23/12/1972,327
30/12/1972,338
6/1/1973,345
13/01/1973,412
20/01/1973,324
27/01/1973,267
3/2/1973,285
10/2/1973,276
17/02/1973,242
24/02/1973,220
3/3/1973,233
10/3/1973,227
17/03/1973,212
24/03/1973,209
31/03/1973,193
7/4/1973,244
14/04/1973,212
21/04/1973,211
28/04/1973,194
5/5/1973,214
12/5/1973,198
19/05/1973,189
26/05/1973,190
2/6/1973,173
9/6/1973,210
16/06/1973,198
23/06/1973,206
30/06/1973,215
7/7/1973,309
14/07/1973,270
21/07/1973,259
28/07/1973,265
4/8/1973,262
11/8/1973,238
18/08/1973,207
25/08/1973,190
1/9/1973,180
8/9/1973,177
15/09/1973,186
22/09/1973,187
29/09/1973,191
6/10/1973,210
13/10/1973,207
20/10/1973,208
27/10/1973,200
3/11/1973,230
10/11/1973,277
17/11/1973,261
24/11/1973,237
1/12/1973,299
8/12/1973,345
15/12/1973,340
22/12/1973,429
29/12/1973,461
5/1/1974,405
12/1/1974,584
19/01/1974,465
26/01/1974,373
2/2/1974,381
9/2/1974,459
16/02/1974,352
23/02/1974,296
2/3/1974,313
9/3/1974,310
16/03/1974,293
23/03/1974,285
30/03/1974,279
6/4/1974,288
13/04/1974,278
20/04/1974,256
27/04/1974,235
4/5/1974,243
11/5/1974,249
18/05/1974,238
25/05/1974,246
1/6/1974,209
8/6/1974,267
15/06/1974,255
22/06/1974,266
29/06/1974,285
6/7/1974,350
13/07/1974,351
20/07/1974,325
27/07/1974,333
3/8/1974,340
10/8/1974,318
17/08/1974,269
24/08/1974,260
31/08/1974,259
7/9/1974,253
14/09/1974,271
21/09/1974,283
28/09/1974,279
5/10/1974,325
12/10/1974,358
19/10/1974,324
